net,reference,symbol_pin,physical_pad,value
ADC_VREF,J4,P4,4,ANALOG PADS
ADC_VREF,U1,ADC_VREF,35,Raspberry Pi Pico 2 W
ADC0_GPIO26,J4,P1,1,ANALOG PADS
ADC0_GPIO26,U1,GP26_ADC0,31,Raspberry Pi Pico 2 W
ADC1_GPIO27,J4,P2,2,ANALOG PADS
ADC1_GPIO27,U1,GP27_ADC1,32,Raspberry Pi Pico 2 W
ADC2_GPIO28,J4,P3,3,ANALOG PADS
ADC2_GPIO28,U1,GP28_ADC2,34,Raspberry Pi Pico 2 W
AGND,J4,P5,5,ANALOG PADS
AGND,U1,AGND,33,Raspberry Pi Pico 2 W
DMX_ACTIVITY_GPIO7,J5,P6,6,RESERVED SIGNAL TEST PADS
DMX_ACTIVITY_GPIO7,R9,1,1,1k 1% 0.1W 0603 Yageo RC0603FR-071KL
DMX_ACTIVITY_GPIO7,U1,GP7,10,Raspberry Pi Pico 2 W
DMX_DATA_MINUS,D1,IO2,2,SM712.TCT
DMX_DATA_MINUS,J1,P2,2,"PANEL XLR-5: COM,-,+,SHELL"
DMX_DATA_MINUS,J6,P8,8,POWER/DMX TEST PADS
DMX_DATA_MINUS,L1,B2,3,ACT45B-510-2P-TL003 - DNP
DMX_DATA_MINUS,R11,2,2,0R 5% 0.1W 0603 Yageo RC0603JR-070RL CMC BYPASS FIT
DMX_DATA_PLUS,D1,IO1,1,SM712.TCT
DMX_DATA_PLUS,J1,P3,3,"PANEL XLR-5: COM,-,+,SHELL"
DMX_DATA_PLUS,J6,P7,7,POWER/DMX TEST PADS
DMX_DATA_PLUS,L1,A2,2,ACT45B-510-2P-TL003 - DNP
DMX_DATA_PLUS,R10,2,2,0R 5% 0.1W 0603 Yageo RC0603JR-070RL CMC BYPASS FIT
DMX_DIR_GPIO4,J5,P3,3,RESERVED SIGNAL TEST PADS
DMX_DIR_GPIO4,R2,1,1,10k 1% 0.063W 0402 Yageo RC0402FR-0710KL
DMX_DIR_GPIO4,U1,GP4,6,Raspberry Pi Pico 2 W
DMX_DIR_GPIO4,U2,DE,3,ISOW1412DFMR
DMX_DIR_GPIO4,U2,RE_N,5,ISOW1412DFMR
DMX_LED_ANODE,D4,A,A,DMX YELLOW Lite-On LTST-C190KSKT
DMX_LED_ANODE,R9,2,2,1k 1% 0.1W 0603 Yageo RC0603FR-071KL
DMX_RX_GPIO6,J5,P5,5,RESERVED SIGNAL TEST PADS
DMX_RX_GPIO6,U1,GP6,9,Raspberry Pi Pico 2 W
DMX_RX_GPIO6,U2,R,4,ISOW1412DFMR
DMX_TRIGGER_GPIO3,J5,P2,2,RESERVED SIGNAL TEST PADS
DMX_TRIGGER_GPIO3,U1,GP3,5,Raspberry Pi Pico 2 W
DMX_TRX_MINUS,L1,B1,4,ACT45B-510-2P-TL003 - DNP
DMX_TRX_MINUS,R11,1,1,0R 5% 0.1W 0603 Yageo RC0603JR-070RL CMC BYPASS FIT
DMX_TRX_MINUS,U2,B,19,ISOW1412DFMR
DMX_TRX_MINUS,U2,Z,18,ISOW1412DFMR
DMX_TRX_PLUS,L1,A1,1,ACT45B-510-2P-TL003 - DNP
DMX_TRX_PLUS,R10,1,1,0R 5% 0.1W 0603 Yageo RC0603JR-070RL CMC BYPASS FIT
DMX_TRX_PLUS,U2,A,20,ISOW1412DFMR
DMX_TRX_PLUS,U2,Y,17,ISOW1412DFMR
DMX_TX_GPIO2,J5,P1,1,RESERVED SIGNAL TEST PADS
DMX_TX_GPIO2,R1,2,2,100k 1% 0.063W 0402 Yageo RC0402FR-07100KL
DMX_TX_GPIO2,U1,GP2,4,Raspberry Pi Pico 2 W
DMX_TX_GPIO2,U2,D,2,ISOW1412DFMR
GND_DMX_CONVERTER,C4,2,2,10nF 50V 10% X7R 0402 0402B103K500CT VISOOUT <1mm
GND_DMX_CONVERTER,C5,2,2,10uF 35V 10% X5R 0805 GRM21BR6YA106KE43L VISOOUT
GND_DMX_CONVERTER,C9,2,2,1uF 50V 10% X5R 0603 CL10A105KB8NNNC VISOOUT 2-4mm
GND_DMX_CONVERTER,FB2,1,1,BLM15EX331SN1D
GND_DMX_CONVERTER,U2,GND2,11,ISOW1412DFMR
GND_DMX_ISO,C6,2,2,100nF 16V 10% X7R 0402 CL05B104KO5NNNC VISOIN
GND_DMX_ISO,D1,GND,3,SM712.TCT
GND_DMX_ISO,FB2,2,2,BLM15EX331SN1D
GND_DMX_ISO,J1,P1,1,"PANEL XLR-5: COM,-,+,SHELL"
GND_DMX_ISO,J6,P6,6,POWER/DMX TEST PADS
GND_DMX_ISO,U2,GISOIN,15,ISOW1412DFMR
GND_LOGIC,C1,2,2,100nF 16V 10% X7R 0402 CL05B104KO5NNNC VIO
GND_LOGIC,C2,2,2,10nF 50V 10% X7R 0402 0402B103K500CT VDD <1mm
GND_LOGIC,C3,2,2,10uF 35V 10% X5R 0805 GRM21BR6YA106KE43L VDD
GND_LOGIC,C7,2,2,100nF 16V 10% X7R 0402 CL05B104KO5NNNC MIDI VCC
GND_LOGIC,C8,2,2,1uF 50V 10% X5R 0603 CL10A105KB8NNNC VDD 2-4mm
GND_LOGIC,D3,K,C,PWR GREEN Lite-On LTST-C190KGKT
GND_LOGIC,D4,K,C,DMX YELLOW Lite-On LTST-C190KSKT
GND_LOGIC,J6,P2,2,POWER/DMX TEST PADS
GND_LOGIC,R2,2,2,10k 1% 0.063W 0402 Yageo RC0402FR-0710KL
GND_LOGIC,R7,2,2,47k 1% 0.1W 0603 Yageo RC0603FR-0747KL
GND_LOGIC,SW1,P$3,3,PTS810SJM250SMTR LFS RESET (NO)
GND_LOGIC,SW1,P$4,4,PTS810SJM250SMTR LFS RESET (NO)
GND_LOGIC,U1,GND3,3,Raspberry Pi Pico 2 W
GND_LOGIC,U1,GND8,8,Raspberry Pi Pico 2 W
